experiment_id,robots,random_seed,simulation_duration,simulated_time,task_interval,dispatch_strategy,tasks_generated,completed_tasks,completed_by_horizon,waiting_tasks,throughput,distance,wait_steps,idle_steps,plans_created,average_queue_time,average_cycle_time,drain_time,fleet_utilization,completion_rate
R3_S5_I15_Dnearest,3,5,600,608,15,nearest,43,43,42,0,4.2,1440,0,384,304,2.02,29.44,8,65.06,97.67
R4_S1_I15_Dnearest,4,1,600,613,15,nearest,43,43,42,0,4.2,1288,0,1164,288,0.98,24.67,13,41.92,97.67
R4_S2_I15_Dnearest,4,2,600,615,15,nearest,43,43,42,0,4.2,1311,0,1149,293,0.98,24.72,15,41.92,97.67
R4_S3_I15_Dnearest,4,3,600,615,15,nearest,43,43,42,0,4.2,1313,0,1147,281,0.98,24.05,15,40.71,97.67
R4_S4_I15_Dnearest,4,4,600,609,15,nearest,43,43,42,0,4.2,1254,1,1181,281,0.98,23.28,9,39.58,97.67
R4_S5_I15_Dnearest,4,5,600,611,15,nearest,43,43,42,0,4.2,1299,1,1144,294,0.98,25.47,11,43.42,97.67
R5_S1_I15_Dnearest,5,1,600,610,15,nearest,43,43,41,0,4.1,1273,0,1777,272,0.91,22.67,10,30.73,95.35
R5_S2_I15_Dnearest,5,2,600,615,15,nearest,43,43,42,0,4.2,1327,0,1748,289,0.91,23.58,15,32.0,97.67
R5_S3_I15_Dnearest,5,3,600,614,15,nearest,43,43,42,0,4.2,1320,0,1750,293,0.91,22.7,14,30.77,97.67
R5_S4_I15_Dnearest,5,4,600,608,15,nearest,43,43,42,0,4.2,1307,0,1733,293,0.91,23.3,8,31.83,97.67
R5_S5_I15_Dnearest,5,5,600,610,15,nearest,43,43,42,0,4.2,1365,0,1685,288,0.91,24.21,10,33.07,97.67
R6_S1_I15_Dnearest,6,1,600,612,15,nearest,43,43,41,0,4.1,1271,0,2401,273,0.91,22.49,12,25.39,95.35
R6_S2_I15_Dnearest,6,2,600,613,15,nearest,43,43,42,0,4.2,1291,0,2387,290,0.91,23.98,13,27.19,97.67
R6_S3_I15_Dnearest,6,3,600,609,15,nearest,43,43,42,0,4.2,1355,0,2299,308,0.91,22.7,9,25.78,97.67
R6_S4_I15_Dnearest,6,4,600,608,15,nearest,43,43,42,0,4.2,1297,0,2351,297,0.91,23.02,8,26.19,97.67
R6_S5_I15_Dnearest,6,5,600,611,15,nearest,43,43,42,0,4.2,1351,0,2315,295,0.91,23.6,11,26.81,97.67
R1_S1_I20_Dnearest,1,1,600,887,20,nearest,33,33,22,0,2.2,887,0,0,67,164.61,191.48,287,100.0,66.67
R1_S2_I20_Dnearest,1,2,600,943,20,nearest,33,33,21,0,2.1,943,0,0,67,186.42,215.0,343,100.0,63.64
R1_S3_I20_Dnearest,1,3,600,915,20,nearest,33,33,21,0,2.1,915,0,0,67,178.3,206.03,315,100.0,63.64
R1_S4_I20_Dnearest,1,4,600,915,20,nearest,33,33,21,0,2.1,915,0,0,67,171.27,199.0,315,100.0,63.64
R1_S5_I20_Dnearest,1,5,600,915,20,nearest,33,33,21,0,2.1,915,0,0,67,173.7,201.42,315,100.0,63.64
R2_S1_I20_Dnearest,2,1,600,619,20,nearest,33,33,32,0,3.2,1140,0,98,180,5.06,31.36,19,70.75,96.97
R2_S2_I20_Dnearest,2,2,600,612,20,nearest,33,33,32,0,3.2,1103,0,121,169,5.18,31.73,12,72.0,96.97
R2_S3_I20_Dnearest,2,3,600,600,20,nearest,33,33,33,0,3.3,1092,0,108,173,5.42,32.45,0,74.33,100.0
R2_S4_I20_Dnearest,2,4,600,600,20,nearest,33,33,33,0,3.3,1134,0,66,181,4.97,31.97,0,74.25,100.0
R2_S5_I20_Dnearest,2,5,600,600,20,nearest,33,33,33,0,3.3,1144,0,56,180,5.42,32.55,0,74.58,100.0
R3_S1_I20_Dnearest,3,1,600,610,20,nearest,33,33,32,0,3.2,1057,0,773,192,1.82,24.85,10,41.67,96.97
R3_S2_I20_Dnearest,3,2,600,612,20,nearest,33,33,32,0,3.2,1075,0,761,194,1.82,25.91,12,43.5,96.97
R3_S3_I20_Dnearest,3,3,600,600,20,nearest,33,33,33,0,3.3,1115,0,685,198,1.82,25.64,0,43.67,100.0
R3_S4_I20_Dnearest,3,4,600,600,20,nearest,33,33,33,0,3.3,1023,0,777,196,1.82,24.94,0,42.39,100.0
R3_S5_I20_Dnearest,3,5,600,600,20,nearest,33,33,33,0,3.3,1091,0,709,200,1.82,24.64,0,41.83,100.0
R4_S1_I20_Dnearest,4,1,600,604,20,nearest,33,33,32,0,3.2,1051,0,1365,208,0.88,23.15,4,30.46,96.97
R4_S2_I20_Dnearest,4,2,600,602,20,nearest,33,33,32,0,3.2,1119,0,1289,216,0.88,22.39,2,29.5,96.97
R4_S3_I20_Dnearest,4,3,600,604,20,nearest,33,33,32,0,3.2,1087,0,1329,196,0.88,22.97,4,30.21,96.97
R4_S4_I20_Dnearest,4,4,600,600,20,nearest,33,33,33,0,3.3,1053,0,1347,214,0.88,22.58,0,29.83,100.0
R4_S5_I20_Dnearest,4,5,600,600,20,nearest,33,33,33,0,3.3,1074,0,1326,200,0.88,23.61,0,31.25,100.0
R5_S1_I20_Dnearest,5,1,600,604,20,nearest,33,33,32,0,3.2,1088,0,1932,214,0.88,21.91,4,23.0,96.97
R5_S2_I20_Dnearest,5,2,600,607,20,nearest,33,33,32,0,3.2,1064,0,1971,214,0.88,23.06,7,24.17,96.97
R5_S3_I20_Dnearest,5,3,600,600,20,nearest,33,33,33,0,3.3,1117,0,1883,211,0.88,22.79,0,24.1,100.0
R5_S4_I20_Dnearest,5,4,600,603,20,nearest,33,33,32,0,3.2,1076,0,1939,213,0.88,22.06,3,23.2,96.97
R5_S5_I20_Dnearest,5,5,600,600,20,nearest,33,33,33,0,3.3,1079,0,1921,207,0.88,21.97,0,23.2,100.0
R6_S1_I20_Dnearest,6,1,600,604,20,nearest,33,33,32,0,3.2,1096,0,2528,213,0.88,22.09,4,19.33,96.97
R6_S2_I20_Dnearest,6,2,600,607,20,nearest,33,33,32,0,3.2,1060,0,2582,217,0.88,23.18,7,20.25,96.97
R6_S3_I20_Dnearest,6,3,600,601,20,nearest,33,33,32,0,3.2,1116,0,2490,209,0.88,22.79,1,20.06,96.97
R6_S4_I20_Dnearest,6,4,600,603,20,nearest,33,33,32,0,3.2,1074,0,2544,213,0.88,22.06,3,19.33,96.97
R6_S5_I20_Dnearest,6,5,600,600,20,nearest,33,33,33,0,3.3,1087,0,2513,211,0.88,22.24,0,19.58,100.0
R1_S1_I10_Dfirst_available,1,1,600,1723,10,first_available,63,63,22,0,2.2,1723,0,0,127,558.57,585.92,1123,100.0,34.92
R1_S2_I10_Dfirst_available,1,2,600,1799,10,first_available,63,63,21,0,2.1,1799,0,0,127,602.38,630.94,1199,100.0,33.33
R1_S3_I10_Dfirst_available,1,3,600,1771,10,first_available,63,63,21,0,2.1,1771,0,0,127,581.11,609.22,1171,100.0,33.33
R1_S4_I10_Dfirst_available,1,4,600,1715,10,first_available,63,63,21,0,2.1,1715,0,0,127,567.97,595.19,1115,100.0,33.33
R1_S5_I10_Dfirst_available,1,5,600,1759,10,first_available,63,63,21,0,2.1,1759,0,0,127,575.84,603.76,1159,100.0,33.33
R2_S1_I10_Dfirst_available,2,1,600,888,10,first_available,63,63,41,0,4.1,1776,0,0,254,147.98,176.16,288,100.0,65.08
R2_S2_I10_Dfirst_available,2,2,600,929,10,first_available,63,63,40,0,4.0,1858,0,0,254,162.41,191.63,329,100.0,63.49
R2_S3_I10_Dfirst_available,2,3,600,916,10,first_available,63,63,41,0,4.1,1830,0,2,254,160.11,188.86,316,100.0,65.08
R2_S4_I10_Dfirst_available,2,4,600,885,10,first_available,63,63,41,0,4.1,1769,0,1,254,147.35,175.24,285,100.0,65.08
